time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/episodes,train/n_updates,train/learning_rate,train/loss
2126,100.0,17007,191.49499999999998,0.05,7,172,4001,0.0005,0.6690155863761902
2117,100.0,17407,190.99,0.05,8,176,4101,0.0005,0.5084208846092224
2108,100.0,17807,190.18200000000002,0.05,8,180,4201,0.0005,0.7082945704460144
2101,100.0,18207,189.07100000000003,0.05,8,184,4301,0.0005,0.49469852447509766
2093,100.0,18607,188.465,0.05,8,188,4401,0.0005,0.4016411602497101
2086,100.0,19007,188.06099999999998,0.05,9,192,4501,0.0005,0.39695367217063904
2079,100.0,19407,187.25300000000004,0.05,9,196,4601,0.0005,0.3163875639438629
2072,100.0,19807,187.657,0.05,9,200,4701,0.0005,0.8681454062461853
2066,100.0,20207,186.95000000000005,0.05,9,204,4801,0.0005,0.6661452651023865
2060,99.84,20591,187.572,0.05,9,208,4897,0.0005,0.5240433812141418
2053,99.84,20991,186.96599999999998,0.05,10,212,4997,0.0005,0.33505314588546753
2049,99.84,21391,186.66299999999998,0.05,10,216,5097,0.0005,0.5334764122962952
2042,99.84,21791,186.562,0.05,10,220,5197,0.0005,0.5890573263168335
2036,99.84,22191,187.06699999999998,0.05,10,224,5297,0.0005,0.5273394584655762
2029,99.84,22591,187.875,0.05,11,228,5397,0.0005,0.5309284329414368
2024,99.84,22991,188.683,0.05,11,232,5497,0.0005,0.43859219551086426
2020,99.84,23391,190.299,0.05,11,236,5597,0.0005,0.3449198603630066
2016,99.84,23791,191.51100000000002,0.05,11,240,5697,0.0005,0.258683979511261
2011,99.71,24178,192.938,0.05,12,244,5794,0.0005,0.666283130645752
2007,99.34,24541,194.59099999999995,0.05,12,248,5885,0.0005,0.2896522581577301
2004,99.34,24941,195.90399999999997,0.05,12,252,5985,0.0005,0.40727680921554565
2002,99.34,25341,196.40899999999993,0.05,12,256,6085,0.0005,0.34474748373031616
1998,99.06,25713,197.649,0.05,12,260,6178,0.0005,0.15248937904834747
1995,99.06,26113,198.659,0.05,13,264,6278,0.0005,0.30038726329803467
1992,99.06,26513,199.265,0.05,13,268,6378,0.0005,0.3801570534706116
1990,98.55,26862,199.31599999999997,0.05,13,272,6465,0.0005,0.2830360531806946
1988,98.55,27262,199.31599999999997,0.05,13,276,6565,0.0005,0.4359651207923889
1985,98.55,27662,199.92199999999997,0.05,13,280,6665,0.0005,0.6215850114822388
1984,97.56,27963,201.43500000000003,0.05,14,284,6740,0.0005,0.206251323223114
1981,97.02,28309,202.6,0.05,14,288,6827,0.0005,0.2715158462524414
1979,97.02,28709,203.81199999999998,0.05,14,292,6927,0.0005,0.3544568717479706
1976,96.31,29038,205.19600000000003,0.05,14,296,7009,0.0005,0.14894291758537292
1975,96.31,29438,205.39799999999997,0.05,14,300,7109,0.0005,0.37805986404418945
1973,96.31,29838,206.61,0.05,15,304,7209,0.0005,0.24218246340751648
1972,95.74,30165,207.47500000000002,0.05,15,308,7291,0.0005,0.35674118995666504
1969,95.22,30513,208.63799999999995,0.05,15,312,7378,0.0005,0.4689593017101288
1969,94.52,30843,209.718,0.05,15,316,7460,0.0005,0.3395049571990967
1967,94.52,31243,208.91,0.05,15,320,7560,0.0005,0.17881540954113007
1966,94.36,31627,209.93600000000004,0.05,16,324,7656,0.0005,0.39436718821525574
1964,94.36,32027,210.54199999999997,0.05,16,328,7756,0.0005,0.39864975214004517
1963,92.38,32229,212.356,0.05,16,332,7807,0.0005,0.41319739818573
1962,91.85,32576,212.207,0.05,16,336,7893,0.0005,0.33090654015541077
1961,91.13,32904,213.289,0.05,16,340,7975,0.0005,0.16937263309955597
1958,91.26,33304,213.37699999999998,0.05,17,344,8075,0.0005,0.30773258209228516
1953,91.63,33704,212.93599999999998,0.05,17,348,8175,0.0005,0.18576166033744812
1952,91.35,34076,213.57,0.05,17,352,8268,0.0005,0.16558314859867096
1951,89.23,34264,215.09499999999997,0.05,17,356,8315,0.0005,0.13532018661499023
1947,88.33,34546,215.58899999999994,0.05,17,360,8386,0.0005,0.486832857131958
1946,87.28,34841,216.50199999999998,0.05,17,364,8460,0.0005,0.25491511821746826
1944,85.98,35111,218.046,0.05,18,368,8527,0.0005,0.2442685067653656
1941,86.11,35473,219.043,0.05,18,372,8618,0.0005,0.2855527997016907
1939,86.11,35873,220.053,0.05,18,376,8718,0.0005,0.11978225409984589
1939,84.6,36122,220.91100000000003,0.05,18,380,8780,0.0005,0.4597055912017822
1938,83.18,36281,221.356,0.05,18,384,8820,0.0005,0.2516063153743744
1938,81.0,36409,221.97799999999998,0.05,18,388,8852,0.0005,0.27349960803985596
1937,80.2,36729,222.25999999999996,0.05,18,392,8932,0.0005,0.27685660123825073
1936,79.02,36940,222.681,0.05,19,396,8984,0.0005,0.2756099998950958
1934,78.8,37318,223.40999999999997,0.05,19,400,9079,0.0005,0.21287313103675842
1932,78.44,37682,223.74899999999997,0.05,19,404,9170,0.0005,0.356057345867157
1931,79.17,38082,223.474,0.05,19,408,9270,0.0005,0.19407348334789276
1931,78.13,38326,224.08299999999997,0.05,19,412,9331,0.0005,0.19001419842243195
1930,78.16,38659,224.48399999999998,0.05,20,416,9414,0.0005,0.10254956036806107
1928,78.16,39059,225.59499999999997,0.05,20,420,9514,0.0005,0.1036548987030983
1928,77.04,39331,226.01000000000005,0.05,20,424,9582,0.0005,0.15071652829647064
1927,76.4,39667,226.27599999999998,0.05,20,428,9666,0.0005,0.15206822752952576
1927,76.06,39835,226.41100000000003,0.05,20,432,9708,0.0005,0.2811390161514282
1926,75.73,40149,227.35299999999998,0.05,20,436,9787,0.0005,0.05547737330198288
1926,73.68,40272,227.96199999999996,0.05,20,440,9817,0.0005,0.15884287655353546
1925,71.53,40457,228.783,0.05,21,444,9864,0.0005,0.12714622914791107
1924,69.83,40687,228.75100000000003,0.05,21,448,9921,0.0005,0.2834295630455017
1924,67.22,40798,229.31499999999997,0.05,21,452,9949,0.0005,0.1647384911775589
1923,66.61,40925,229.47699999999998,0.05,21,456,9981,0.0005,0.28655195236206055
1922,65.24,41070,229.81599999999997,0.05,21,460,10017,0.0005,0.13172276318073273
1921,63.47,41188,230.195,0.05,21,464,10046,0.0005,0.41199326515197754
1921,61.86,41297,230.55799999999996,0.05,21,468,10074,0.0005,0.12829691171646118
1918,60.46,41519,230.89999999999998,0.05,21,472,10129,0.0005,0.3957749009132385
1917,57.99,41672,231.551,0.05,21,476,10167,0.0005,0.11246951669454575
1917,56.82,41804,231.97099999999998,0.05,21,480,10200,0.0005,0.2036799192428589
1915,56.83,41964,231.97,0.05,21,484,10240,0.0005,0.17003731429576874
1914,57.39,42148,231.813,0.05,22,488,10286,0.0005,0.10636023432016373
1914,55.37,42266,232.21699999999998,0.05,22,492,10316,0.0005,0.10271647572517395
1912,54.46,42386,232.40900000000002,0.05,22,496,10346,0.0005,0.07221320271492004
1912,51.82,42500,232.97600000000003,0.05,22,500,10374,0.0005,0.18025809526443481
1911,49.77,42659,233.48399999999995,0.05,22,504,10414,0.0005,0.1476677805185318
1910,47.29,42811,234.136,0.05,22,508,10452,0.0005,0.13189609348773956
1909,46.09,42935,234.35699999999997,0.05,22,512,10483,0.0005,0.10037189722061157
1908,43.94,43053,234.97599999999994,0.05,22,516,10513,0.0005,0.28543999791145325
1908,41.0,43159,236.38099999999994,0.05,22,520,10539,0.0005,0.17252197861671448
1908,39.48,43279,236.73499999999996,0.05,22,524,10569,0.0005,0.2145025134086609
1905,37.97,43464,236.785,0.05,22,528,10615,0.0005,0.16541142761707306
1903,38.16,43651,236.56399999999996,0.05,22,532,10662,0.0005,0.1894635111093521
1903,36.12,43761,237.07099999999994,0.05,22,536,10690,0.0005,0.14590635895729065
1902,36.82,43954,235.789,0.05,23,540,10738,0.0005,0.16705402731895447
1900,36.82,44139,235.284,0.05,23,544,10784,0.0005,0.2499723732471466
1900,35.69,44256,236.30599999999998,0.05,23,548,10813,0.0005,0.08672677725553513
1896,36.85,44483,235.88699999999997,0.05,23,552,10870,0.0005,0.1128685474395752
1896,36.76,44601,235.896,0.05,23,556,10900,0.0005,0.12347626686096191
1894,37.31,44801,235.73999999999995,0.05,23,560,10950,0.0005,0.10181612521409988
1893,39.39,45127,235.02699999999993,0.05,23,564,11031,0.0005,0.316657155752182
1893,41.34,45431,234.226,0.05,23,568,11107,0.0005,0.1390833854675293
